import time: self [us] | cumulative | imported package
import time:       379 |        379 |                                   IPython.utils.encoding
import time:       477 |        855 |                                 IPython.utils.py3compat
import time:       287 |       1582 |                               IPython.utils._process_common
import time:       227 |       1809 |                             IPython.utils._process_posix
import time:       219 |       2027 |                           IPython.utils.process
import time:       333 |       2738 |                         IPython.utils.path
import time:       359 |        359 |                           pygments.styles.monokai
import time:       357 |        357 |                           pygments.styles.default
import time:       413 |        413 |                           pygments.styles.pastie
import time:       549 |        549 |                           pygments.styles.gruvbox
import time:     11573 |      13249 |                         IPython.utils.PyColorize
import time:       234 |        234 |                         IPython.utils.terminal
import time:       387 |        387 |                         IPython.core.display_trap
import time:       442 |        442 |                               pkgutil
import time:       531 |        531 |                               sysconfig
import time:       562 |        562 |                               _sysconfigdata__x86_64-linux-gnu
import time:      2908 |       4442 |                             pydoc
import time:       292 |        292 |                                 codeop
import time:       298 |        589 |                               IPython.core.debugger_backport
import time:       319 |        319 |                                 cmd
import time:       517 |        517 |                                 bdb
import time:       301 |        301 |                                 code
import time:       765 |       1900 |                               pdb
import time:       613 |       3101 |                             IPython.core.debugger
import time:       482 |       8023 |                           IPython.core.tbtools
import time:       317 |       8340 |                         IPython.core.doctb
import time:       615 |      43228 |                       IPython.core.ultratb
import time:       171 |        171 |                         IPython.utils._sysinfo
import time:       239 |        410 |                       IPython.utils.sysinfo
import time:       311 |      43948 |                     IPython.core.crashhandler
import time:       175 |        175 |                         IPython.utils.importstring
import time:       323 |        498 |                       IPython.paths
import time:       478 |        975 |                     IPython.core.profiledir
import time:       808 |      60241 |                   IPython.core.application
import time:       207 |        207 |                     IPython.terminal
import time:       246 |        246 |                     IPython.core.compilerop
import time:       246 |        246 |                       IPython.core.error
import time:       164 |        164 |                         IPython.utils.docs
import time:       204 |        368 |                       IPython.utils.decorators
import time:       719 |        719 |                       IPython.utils.text
import time:       430 |       1761 |                     IPython.core.magic_arguments
import time:       265 |        265 |                       getopt
import time:       261 |        261 |                             IPython.core.display_functions
import time:       187 |        187 |                                 IPython.testing
import time:       241 |        427 |                               IPython.testing.skipdoctest
import time:       662 |       1089 |                             IPython.core.display
import time:       178 |        178 |                               IPython.lib
import time:       542 |        720 |                             IPython.lib.display
import time:       202 |       2271 |                           IPython.display
import time:       195 |        195 |                           IPython.utils.data
import time:       337 |       2803 |                         IPython.core.page
import time:       636 |        636 |                         IPython.lib.pretty
import time:       385 |        385 |                         IPython.utils.openpy
import time:       191 |        191 |                         IPython.utils.dir2
import time:       236 |        236 |                         IPython.utils.wildcard
import time:      1148 |       1148 |                           pygments.lexers._mapping
import time:       377 |        377 |                           pygments.modeline
import time:       336 |       1860 |                         pygments.lexers
import time:       199 |        199 |                             pygments.filter
