import time: self [us] | cumulative | imported package
import time:       252 |        252 |                       certifi.core
import time:       249 |        501 |                     certifi
import time:       182 |        683 |                   requests.certs
import time:       182 |        182 |                   requests.__version__
import time:       417 |        417 |                   requests._internal_utils
import time:       387 |        387 |                   requests.cookies
import time:       248 |        248 |                   requests.structures
import time:       167 |        167 |                       importlib.resources._itertools
import time:       348 |        515 |                     importlib.resources.readers
import time:       188 |        702 |                   importlib.readers
import time:       674 |       3290 |                 requests.utils
import time:       341 |        341 |                       requests.auth
import time:       382 |        382 |                           stringprep
import time:       294 |        675 |                         encodings.idna
import time:       183 |        183 |                         requests.hooks
import time:       406 |        406 |                         requests.status_codes
import time:       530 |       1793 |                       requests.models
import time:       178 |        178 |                         urllib3.contrib
import time:       102 |        102 |                         socks
import time:       287 |        566 |                       urllib3.contrib.socks
import time:       360 |       3059 |                     requests.adapters
import time:       436 |       3495 |                   requests.sessions
import time:       219 |       3714 |                 requests.api
import time:       378 |      62191 |               requests
import time:       240 |        240 |                     IPython.core
import time:       278 |        517 |                   IPython.core.getipython
import time:       183 |        183 |                   IPython.core.release
import time:       201 |        201 |                               traitlets.utils
import time:       266 |        466 |                             traitlets.utils.bunch
import time:       183 |        183 |                             traitlets.utils.descriptions
import time:       163 |        163 |                             traitlets.utils.getargspec
import time:       162 |        162 |                             traitlets.utils.importstring
import time:       180 |        180 |                             traitlets.utils.sentinel
import time:       171 |        171 |                             traitlets.utils.warnings
import time:      2953 |       4276 |                           traitlets.traitlets
import time:       315 |        315 |                           traitlets._version
import time:       200 |        200 |                           traitlets.utils.decorators
import time:       310 |       5099 |                         traitlets
import time:       473 |        473 |                           pprint
import time:       630 |        630 |                             logging.handlers
import time:       717 |        717 |                             socketserver
import time:      1198 |       2545 |                           logging.config
import time:       179 |        179 |                             traitlets.utils.text
import time:      2145 |       2145 |                                 gettext
import time:      1043 |       3188 |                               argparse
import time:      1063 |       4251 |                             traitlets.config.loader
import time:       742 |       5170 |                           traitlets.config.configurable
import time:       204 |        204 |                           traitlets.utils.nested_update
import time:      1020 |       9410 |                         traitlets.config.application
import time:       209 |      14717 |                       traitlets.config
import time:        28 |      14744 |                     traitlets.config.application
import time:      1112 |       1112 |                               html.entities
import time:       455 |       1567 |                             html
import time:       252 |        252 |                                 executing._utils
import time:       364 |        364 |                                   executing._exceptions
import time:       539 |        903 |                                 executing._position_node_finder
import time:       622 |       1776 |                               executing.executing
import time:       190 |        190 |                               executing._pytest_utils
import time:       161 |        161 |                               executing.version
import time:       403 |       2529 |                             executing
import time:       389 |        389 |                                 asttokens.line_numbers
import time:       154 |        154 |                                       astroid
import time:        50 |        203 |                                     astroid.nodes
import time:       724 |        926 |                                   asttokens.util
import time:       328 |       1253 |                                 asttokens.asttokens
import time:       254 |       1895 |                               asttokens
import time:        19 |       1913 |                             asttokens.util
import time:       743 |        743 |                                       _decimal
import time:       287 |       1029 |                                     decimal
import time:      1366 |       1366 |                                     fractions
import time:       579 |       2973 |                                   pure_eval.utils
import time:       210 |       3182 |                                 pure_eval.my_getattr_static
import time:       443 |       3625 |                               pure_eval.core
import time:       207 |        207 |                               pure_eval.version
import time:       269 |       4099 |                             pure_eval
import time:      1001 |       1001 |                             stack_data.utils
import time:      1491 |      12598 |                           stack_data.core
import time:       352 |        352 |                           stack_data.formatting
import time:       313 |        313 |                           stack_data.serializing
import time:       164 |        164 |                           stack_data.version
import time:       309 |      13735 |                         stack_data
import time:       231 |        231 |                             pygments
import time:       236 |        236 |                             pygments.formatters._mapping
import time:       179 |        179 |                             pygments.plugin
import time:       803 |        803 |                             pygments.util
import time:       302 |       1748 |                           pygments.formatters
import time:       263 |        263 |                               pygments.styles._mapping
import time:       235 |        498 |                             pygments.styles
import time:       190 |        687 |                           pygments.formatter
import time:       191 |        191 |                           pygments.console
import time:       347 |        347 |                             pygments.token
import time:       357 |        704 |                           pygments.style
import time:       317 |       3645 |                         pygments.formatters.terminal256
import time:       281 |        281 |                         IPython.utils
import time:       380 |        380 |                           glob
import time:       442 |        442 |                                 shlex
import time:       380 |        380 |                                   IPython.utils.encoding
import time:       495 |        875 |                                 IPython.utils.py3compat
import time:       284 |       1600 |                               IPython.utils._process_common
import time:       229 |       1828 |                             IPython.utils._process_posix
import time:       213 |       2040 |                           IPython.utils.process
import time:       328 |       2748 |                         IPython.utils.path
import time:       368 |        368 |                           pygments.styles.monokai
import time:       353 |        353 |                           pygments.styles.default
import time:       400 |        400 |                           pygments.styles.pastie
import time:       560 |        560 |                           pygments.styles.gruvbox
import time:     11853 |      13532 |                         IPython.utils.PyColorize
import time:       231 |        231 |                         IPython.utils.terminal
import time:       386 |        386 |                         IPython.core.display_trap
import time:       409 |        409 |                               pkgutil
import time:       518 |        518 |                               sysconfig
import time:       535 |        535 |                               _sysconfigdata__x86_64-linux-gnu
import time:      2431 |       3892 |                             pydoc
import time:       273 |        273 |                                 codeop
import time:       284 |        557 |                               IPython.core.debugger_backport
import time:       311 |        311 |                                 cmd
import time:       911 |        911 |                                 bdb
import time:       297 |        297 |                                 code
import time:       801 |       2319 |                               pdb
import time:       567 |       3441 |                             IPython.core.debugger
import time:       473 |       7805 |                           IPython.core.tbtools
import time:       314 |       8119 |                         IPython.core.doctb
import time:       631 |      43304 |                       IPython.core.ultratb
import time:       182 |        182 |                         IPython.utils._sysinfo
import time:       229 |        410 |                       IPython.utils.sysinfo
import time:       319 |      44032 |                     IPython.core.crashhandler
import time:       169 |        169 |                         IPython.utils.importstring
import time:       303 |        472 |                       IPython.paths
import time:       466 |        938 |                     IPython.core.profiledir
import time:       771 |      60484 |                   IPython.core.application
import time:       189 |        189 |                     IPython.terminal
import time:       233 |        233 |                     IPython.core.compilerop
import time:       238 |        238 |                       IPython.core.error
import time:       173 |        173 |                         IPython.utils.docs
import time:       201 |        374 |                       IPython.utils.decorators
import time:       703 |        703 |                       IPython.utils.text
import time:       435 |       1748 |                     IPython.core.magic_arguments
import time:       252 |        252 |                       getopt
import time:       216 |        216 |                             IPython.core.display_functions
import time:       183 |        183 |                                 IPython.testing
