import time: self [us] | cumulative | imported package
import time:      3326 |       3326 |                               html.entities
import time:      2582 |       5907 |                             html
import time:       355 |        355 |                                 executing._utils
import time:       405 |        405 |                                   executing._exceptions
import time:       638 |       1043 |                                 executing._position_node_finder
import time:      2052 |       3449 |                               executing.executing
import time:       234 |        234 |                               executing._pytest_utils
import time:       212 |        212 |                               executing.version
import time:      4778 |       8671 |                             executing
import time:       545 |        545 |                                 asttokens.line_numbers
import time:       158 |        158 |                                       astroid
import time:        47 |        204 |                                     astroid.nodes
import time:      1559 |       1763 |                                   asttokens.util
import time:       451 |       2214 |                                 asttokens.asttokens
import time:      3174 |       5932 |                               asttokens
import time:        19 |       5951 |                             asttokens.util
import time:      2776 |       2776 |                                       _decimal
import time:       346 |       3121 |                                     decimal
import time:      1674 |       1674 |                                     fractions
import time:       636 |       5430 |                                   pure_eval.utils
import time:       304 |       5733 |                                 pure_eval.my_getattr_static
import time:       631 |       6363 |                               pure_eval.core
import time:       270 |        270 |                               pure_eval.version
import time:      2984 |       9617 |                             pure_eval
import time:      1820 |       1820 |                             stack_data.utils
import time:      1731 |      33694 |                           stack_data.core
import time:       436 |        436 |                           stack_data.formatting
import time:       391 |        391 |                           stack_data.serializing
import time:       222 |        222 |                           stack_data.version
import time:      3509 |      38249 |                         stack_data
import time:      5161 |       5161 |                             pygments
import time:       497 |        497 |                             pygments.formatters._mapping
import time:       295 |        295 |                             pygments.plugin
import time:      1848 |       1848 |                             pygments.util
import time:     34681 |      42480 |                           pygments.formatters
import time:       921 |        921 |                               pygments.styles._mapping
import time:      6837 |       7758 |                             pygments.styles
import time:       311 |       8069 |                           pygments.formatter
import time:       458 |        458 |                           pygments.console
import time:       721 |        721 |                             pygments.token
import time:       745 |       1465 |                           pygments.style
import time:      1410 |      53879 |                         pygments.formatters.terminal256
import time:      5714 |       5714 |                         IPython.utils
import time:       759 |        759 |                           glob
import time:       587 |        587 |                                 shlex
import time:       460 |        460 |                                   IPython.utils.encoding
import time:       689 |       1149 |                                 IPython.utils.py3compat
